Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Label,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR1107509,AMPLICON,559,2029682,PRJNA231837,SAMN02444845,4643826,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426136,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_13,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,CD13,SRP035361
SRR1107510,AMPLICON,546,1832301,PRJNA231837,SAMN02444846,4151844,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426137,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_14,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,CD14,SRP035361
SRR1107511,AMPLICON,546,2063932,PRJNA231837,SAMN02444847,4670537,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426138,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_15,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,CD15,SRP035361
SRR1107512,AMPLICON,550,2129470,PRJNA231837,SAMN02444848,4824014,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426139,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_16,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,CD16,SRP035361
SRR1107513,AMPLICON,568,8982820,PRJNA231837,SAMN02444849,20244731,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426140,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_17,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,CD17,SRP035361
SRR1107514,AMPLICON,559,6753227,PRJNA231837,SAMN02444850,15284613,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426141,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_18,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,CD18,SRP035361
SRR1107515,AMPLICON,564,7563132,PRJNA231837,SAMN02444851,17109292,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426142,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_4,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,HC4,SRP035361
SRR1107516,AMPLICON,542,371416,PRJNA231837,SAMN02444852,889021,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426143,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_5,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,HC5,SRP035361
SRR1107517,AMPLICON,563,7763511,PRJNA231837,SAMN02444853,17461910,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426144,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_6,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,HC6,SRP035361
SRR1107518,AMPLICON,562,8796113,PRJNA231837,SAMN02444854,19879821,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426145,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_8,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,HC8,SRP035361
SRR1107519,AMPLICON,568,8982820,PRJNA231837,SAMN02444855,20244731,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426146,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_1,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,CD1,SRP035361
SRR1107520,AMPLICON,559,6753227,PRJNA231837,SAMN02444856,15284613,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426147,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_6,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,CD6,SRP035361
SRR1107521,AMPLICON,564,7563132,PRJNA231837,SAMN02444857,17109292,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426148,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_9,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,CD9,SRP035361
SRR1107522,AMPLICON,563,7763511,PRJNA231837,SAMN02444858,17461910,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426149,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_11,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,CD11,SRP035361
SRR1107523,AMPLICON,562,8796113,PRJNA231837,SAMN02444859,19879821,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426150,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_12,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:49:00Z,1,CD12,SRP035361
