Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Submitter_Id
ERR2190457,AMPLICON,502,8198162,PRJEB23313,SAMEA104368303,5309411,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246572,SAMEA104368303,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:01:00Z,1,SAMEA104368303,Proficel_C5-6,ERP105056,Proficel_C5-6
ERR2190458,AMPLICON,502,5652018,PRJEB23313,SAMEA104368304,3796477,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246573,SAMEA104368304,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:01:00Z,1,SAMEA104368304,Proficel_C6-4,ERP105056,Proficel_C6-4
ERR2190459,AMPLICON,502,4674122,PRJEB23313,SAMEA104368305,3205971,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246574,SAMEA104368305,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:02:00Z,1,SAMEA104368305,Proficel_C6-6,ERP105056,Proficel_C6-6
ERR2190460,AMPLICON,502,12333638,PRJEB23313,SAMEA104368306,7708860,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246575,SAMEA104368306,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:02:00Z,1,SAMEA104368306,Proficel_C7-4,ERP105056,Proficel_C7-4
ERR2190461,AMPLICON,502,9122344,PRJEB23313,SAMEA104368307,5974579,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246576,SAMEA104368307,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:02:00Z,1,SAMEA104368307,Proficel_C7-6,ERP105056,Proficel_C7-6
ERR2190462,AMPLICON,502,10134376,PRJEB23313,SAMEA104368308,6828649,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246577,SAMEA104368308,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:02:00Z,1,SAMEA104368308,Proficel_C8-4,ERP105056,Proficel_C8-4
ERR2190463,AMPLICON,502,12550502,PRJEB23313,SAMEA104368309,8048219,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246578,SAMEA104368309,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:02:00Z,1,SAMEA104368309,Proficel_C8-6,ERP105056,Proficel_C8-6
ERR2190464,AMPLICON,502,12301510,PRJEB23313,SAMEA104368310,7740381,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246579,SAMEA104368310,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:03:00Z,1,SAMEA104368310,Proficel_C9-4,ERP105056,Proficel_C9-4
ERR2190465,AMPLICON,502,7206712,PRJEB23313,SAMEA104368311,4612942,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246580,SAMEA104368311,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:03:00Z,1,SAMEA104368311,Proficel_C9-6,ERP105056,Proficel_C9-6
ERR2190466,AMPLICON,502,8444142,PRJEB23313,SAMEA104368312,5542206,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246581,SAMEA104368312,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:03:00Z,1,SAMEA104368312,Proficel_C10-6,ERP105056,Proficel_C10-6
ERR2190467,AMPLICON,502,4444206,PRJEB23313,SAMEA104368313,3077835,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246582,SAMEA104368313,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:03:00Z,1,SAMEA104368313,Proficel_CD1-4,ERP105056,Proficel_CD1-4
ERR2190468,AMPLICON,502,7285526,PRJEB23313,SAMEA104368314,5016989,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246583,SAMEA104368314,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:03:00Z,1,SAMEA104368314,Proficel_CD1-6,ERP105056,Proficel_CD1-6
ERR2190469,AMPLICON,502,5374412,PRJEB23313,SAMEA104368315,3584698,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246584,SAMEA104368315,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:03:00Z,1,SAMEA104368315,Proficel_CD2-4,ERP105056,Proficel_CD2-4
ERR2190470,AMPLICON,502,7284020,PRJEB23313,SAMEA104368316,4895604,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246585,SAMEA104368316,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:04:00Z,1,SAMEA104368316,Proficel_CD2-6,ERP105056,Proficel_CD2-6
ERR2190471,AMPLICON,502,6026510,PRJEB23313,SAMEA104368317,4046041,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246586,SAMEA104368317,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:04:00Z,1,SAMEA104368317,Proficel_CD3-4,ERP105056,Proficel_CD3-4
ERR2190472,AMPLICON,502,4389990,PRJEB23313,SAMEA104368318,3067163,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246587,SAMEA104368318,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:04:00Z,1,SAMEA104368318,Proficel_CD3-6,ERP105056,Proficel_CD3-6
ERR2190473,AMPLICON,502,3979354,PRJEB23313,SAMEA104368319,2749343,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246588,SAMEA104368319,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:05:00Z,1,SAMEA104368319,Proficel_CD4-4,ERP105056,Proficel_CD4-4
ERR2190474,AMPLICON,502,6007434,PRJEB23313,SAMEA104368320,4066589,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246589,SAMEA104368320,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:05:00Z,1,SAMEA104368320,Proficel_CD4-6,ERP105056,Proficel_CD4-6
ERR2190475,AMPLICON,502,5288068,PRJEB23313,SAMEA104368321,3612049,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246590,SAMEA104368321,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:05:00Z,1,SAMEA104368321,Proficel_CD5-4,ERP105056,Proficel_CD5-4
ERR2190476,AMPLICON,502,2941218,PRJEB23313,SAMEA104368322,2017979,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246591,SAMEA104368322,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:06:00Z,1,SAMEA104368322,Proficel_CD5-6,ERP105056,Proficel_CD5-6
ERR2190477,AMPLICON,502,5817678,PRJEB23313,SAMEA104368323,3802532,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246592,SAMEA104368323,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:06:00Z,1,SAMEA104368323,Proficel_CD6-4,ERP105056,Proficel_CD6-4
ERR2190478,AMPLICON,502,7895958,PRJEB23313,SAMEA104368324,5190933,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246593,SAMEA104368324,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:06:00Z,1,SAMEA104368324,Proficel_CD6-6,ERP105056,Proficel_CD6-6
ERR2190479,AMPLICON,502,7653994,PRJEB23313,SAMEA104368325,5088013,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246594,SAMEA104368325,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:06:00Z,1,SAMEA104368325,Proficel_CD7-4,ERP105056,Proficel_CD7-4
ERR2190480,AMPLICON,502,10590694,PRJEB23313,SAMEA104368326,7083283,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246595,SAMEA104368326,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:06:00Z,1,SAMEA104368326,Proficel_CD7-6,ERP105056,Proficel_CD7-6
ERR2190481,AMPLICON,502,3268020,PRJEB23313,SAMEA104368327,2336483,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246596,SAMEA104368327,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:06:00Z,1,SAMEA104368327,Proficel_CD8-4,ERP105056,Proficel_CD8-4
ERR2190482,AMPLICON,502,8389424,PRJEB23313,SAMEA104368328,5900040,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246597,SAMEA104368328,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:07:00Z,1,SAMEA104368328,Proficel_CD8-6,ERP105056,Proficel_CD8-6
ERR2190483,AMPLICON,502,9208186,PRJEB23313,SAMEA104368329,5963863,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246598,SAMEA104368329,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:07:00Z,1,SAMEA104368329,Proficel_CD9-4,ERP105056,Proficel_CD9-4
ERR2190484,AMPLICON,502,10663986,PRJEB23313,SAMEA104368330,6722807,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246599,SAMEA104368330,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:07:00Z,1,SAMEA104368330,Proficel_CD9-6,ERP105056,Proficel_CD9-6
ERR2190485,AMPLICON,502,10906954,PRJEB23313,SAMEA104368331,7344710,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246600,SAMEA104368331,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:07:00Z,1,SAMEA104368331,Proficel_CD10-6,ERP105056,Proficel_CD10-6
