Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Attribute,isolation_source
SRR7442266,AMPLICON,510,47427450,PRJNA445279,SAMN09500858,Metagenome or environmental,30192214,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312865,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV200,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV200,SRP136344,,Duodenal sample 9
SRR7442267,AMPLICON,510,46595640,PRJNA445279,SAMN09500859,Metagenome or environmental,29325424,MCMASTER UNIVERSITY,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312864,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV208,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV208,SRP136344,,Duodenal sample 10
SRR7442268,AMPLICON,502,26076390,PRJNA445279,SAMN09500854,Metagenome or environmental,14055883,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312863,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV261,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV261,SRP136344,,Duodenal sample 5
SRR7442269,AMPLICON,502,22360586,PRJNA445279,SAMN09500855,Metagenome or environmental,12173925,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312862,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV268,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV268,SRP136344,,Duodenal sample 6
SRR7442270,AMPLICON,502,20023274,PRJNA445279,SAMN09500856,Metagenome or environmental,10706837,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312861,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV272,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV272,SRP136344,,Duodenal sample 7
SRR7442271,AMPLICON,502,18596088,PRJNA445279,SAMN09500857,Metagenome or environmental,10418626,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312860,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV280,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV280,SRP136344,,Duodenal sample 8
SRR7442272,AMPLICON,510,54186480,PRJNA445279,SAMN09500850,Metagenome or environmental,34517140,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312859,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV192,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV192,SRP136344,,Duodenal sample 1
SRR7442273,AMPLICON,510,41612430,PRJNA445279,SAMN09500851,Metagenome or environmental,26255470,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312858,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV196,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV196,SRP136344,,Duodenal sample 2
SRR7442274,AMPLICON,510,27354360,PRJNA445279,SAMN09500852,Metagenome or environmental,17805841,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312857,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV212,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV212,SRP136344,,Duodenal sample 3
SRR7442275,AMPLICON,510,18095310,PRJNA445279,SAMN09500853,Metagenome or environmental,11785434,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312856,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV220,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV220,SRP136344,,Duodenal sample 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
