Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Location,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,UniqueSampleName
SRR18231050,AMPLICON,502,51688932,PRJNA812940,SAMN26442004,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",31169846,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372712,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV437,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV437,SRP362541,EV437
SRR18231051,AMPLICON,502,52141736,PRJNA812940,SAMN26442003,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",31250452,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372711,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV436,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:26:00Z,1,EV436,SRP362541,EV436
SRR18231052,AMPLICON,502,38568660,PRJNA812940,SAMN26442002,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",21585117,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372710,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV374,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV374,SRP362541,EV374
SRR18231053,AMPLICON,502,35259476,PRJNA812940,SAMN26442001,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19209848,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372709,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV371,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV371,SRP362541,EV371
SRR18231054,AMPLICON,510,36861270,PRJNA812940,SAMN26441929,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23360832,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372708,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR171-EV203,PAIRED,PCR,METAGENOMIC,D1,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV203,SRP362541,EV203
SRR18231055,AMPLICON,502,14174974,PRJNA812940,SAMN26442000,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7901822,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372707,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV370,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV370,SRP362541,EV370
SRR18231056,AMPLICON,502,43572094,PRJNA812940,SAMN26441999,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23870567,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372706,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV369,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV369,SRP362541,EV369
SRR18231057,AMPLICON,502,41285986,PRJNA812940,SAMN26441998,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22964566,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372705,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV368,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV368,SRP362541,EV368
SRR18231058,AMPLICON,502,38199690,PRJNA812940,SAMN26441997,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20902405,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372704,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV367,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV367,SRP362541,EV367
SRR18231059,AMPLICON,502,37598294,PRJNA812940,SAMN26441996,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20505186,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372703,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV366,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV366,SRP362541,EV366
SRR18231060,AMPLICON,502,37481830,PRJNA812940,SAMN26441995,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20190791,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372702,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV365,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV365,SRP362541,EV365
SRR18231061,AMPLICON,502,35536580,PRJNA812940,SAMN26441994,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19175095,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372701,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV364,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV364,SRP362541,EV364
SRR18231062,AMPLICON,502,28661188,PRJNA812940,SAMN26441993,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15584804,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372700,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV363,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV363,SRP362541,EV363
SRR18231063,AMPLICON,502,41044022,PRJNA812940,SAMN26441992,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22242155,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372699,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV362,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:26:00Z,1,EV362,SRP362541,EV362
SRR18231064,AMPLICON,502,38112844,PRJNA812940,SAMN26441991,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20753878,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372698,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV361,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV361,SRP362541,EV361
SRR18231065,AMPLICON,502,37512452,PRJNA812940,SAMN26441928,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22845226,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372697,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR177-EV202,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV202,SRP362541,EV202
SRR18231066,AMPLICON,502,42841182,PRJNA812940,SAMN26441990,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23384230,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372696,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV360,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV360,SRP362541,EV360
SRR18231067,AMPLICON,502,44845166,PRJNA812940,SAMN26441989,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",24311573,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372695,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV359,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV359,SRP362541,EV359
SRR18231068,AMPLICON,502,16431966,PRJNA812940,SAMN26441988,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8987686,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372694,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV358,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV358,SRP362541,EV358
SRR18231069,AMPLICON,502,37146996,PRJNA812940,SAMN26441987,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19983760,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372693,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV357,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:26:00Z,1,EV357,SRP362541,EV357
SRR18231070,AMPLICON,502,32942244,PRJNA812940,SAMN26441986,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17925037,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372692,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV356,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV356,SRP362541,EV356
SRR18231071,AMPLICON,502,37199706,PRJNA812940,SAMN26441985,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20174343,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372691,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR260-EV355,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:26:00Z,1,EV355,SRP362541,EV355
SRR18231072,AMPLICON,502,18324506,PRJNA812940,SAMN26441955,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9814029,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372690,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV271,PAIRED,PCR,METAGENOMIC,D1,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV271,SRP362541,EV271
SRR18231073,AMPLICON,502,34634988,PRJNA812940,SAMN26441954,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",18097600,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372689,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV270,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV270,SRP362541,EV270
SRR18231074,AMPLICON,502,13280410,PRJNA812940,SAMN26441953,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7104327,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372688,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV269,PAIRED,PCR,METAGENOMIC,D3,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV269,SRP362541,EV269
SRR18231075,AMPLICON,502,22360586,PRJNA812940,SAMN26441952,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12173955,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372687,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV268,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV268,SRP362541,EV268
SRR18231076,AMPLICON,502,23868092,PRJNA812940,SAMN26441951,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12600042,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372686,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV267,PAIRED,PCR,METAGENOMIC,D1,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV267,SRP362541,EV267
SRR18231077,AMPLICON,510,40746450,PRJNA812940,SAMN26441924,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",26309925,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372685,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR171-EV194,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV194,SRP362541,EV194
SRR18231078,AMPLICON,502,21487106,PRJNA812940,SAMN26441950,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11860738,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372684,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV262,PAIRED,PCR,METAGENOMIC,D3,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV262,SRP362541,EV262
SRR18231079,AMPLICON,502,26076390,PRJNA812940,SAMN26441949,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14055913,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372683,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV261,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:26:00Z,1,EV261,SRP362541,EV261
SRR18231080,AMPLICON,502,27352474,PRJNA812940,SAMN26441948,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14005057,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372682,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR212-EV260,PAIRED,PCR,METAGENOMIC,D1,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV260,SRP362541,EV260
