Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_age,Host,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Microbial_fraction,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample_index,Sample Name,SRA Study
SRR11733563,AMPLICON,502,13937528,PRJNA631001,SAMN14851194,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8462524,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292543,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_3_2_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:25:00Z,1,208,sample_3_2_IgA_pos,SRP260653
SRR11733564,AMPLICON,502,8259406,PRJNA631001,SAMN14851193,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5158137,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292542,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_3_2,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,207,sample_3_2,SRP260653
SRR11733565,AMPLICON,502,7676584,PRJNA631001,SAMN14851192,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4753705,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292541,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_2_2_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,206,sample_2_2_IgA_neg,SRP260653
SRR11733566,AMPLICON,502,13680504,PRJNA631001,SAMN14851191,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8300081,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292540,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_2_2_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:25:00Z,1,205,sample_2_2_IgA_pos,SRP260653
SRR11733567,AMPLICON,502,15333088,PRJNA631001,SAMN14851190,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9281365,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292539,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_2_2,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,204,sample_2_2,SRP260653
SRR11733568,AMPLICON,502,13299988,PRJNA631001,SAMN14851189,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8209678,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292538,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_1_2_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,203,sample_1_2_IgA_neg,SRP260653
SRR11733569,AMPLICON,502,12339662,PRJNA631001,SAMN14851188,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7591572,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292537,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_1_2_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,202,sample_1_2_IgA_pos,SRP260653
SRR11733570,AMPLICON,502,14603682,PRJNA631001,SAMN14851187,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9026394,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292536,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_1_2,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,201,sample_1_2,SRP260653
SRR11733571,AMPLICON,502,16582566,PRJNA631001,SAMN14851007,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10673422,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292535,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_7_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,21,sample_7_1_IgA_neg,SRP260653
SRR11733572,AMPLICON,502,15664408,PRJNA631001,SAMN14850989,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9780435,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292534,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_1_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,3,sample_1_1_IgA_neg,SRP260653
SRR11733573,AMPLICON,502,13086136,PRJNA631001,SAMN14851186,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8367806,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292533,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_68_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,200,sample_68_1_IgA_neg,SRP260653
SRR11733574,AMPLICON,502,10951632,PRJNA631001,SAMN14851185,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6958708,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292532,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_68_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,199,sample_68_1,SRP260653
SRR11733575,AMPLICON,502,10653444,PRJNA631001,SAMN14851184,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6809164,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292531,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_67_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,198,sample_67_1_IgA_neg,SRP260653
SRR11733576,AMPLICON,502,10646416,PRJNA631001,SAMN14851183,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6759057,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292530,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_67_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,197,sample_67_1,SRP260653
SRR11733577,AMPLICON,502,10639388,PRJNA631001,SAMN14851182,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6661957,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292529,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_66_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,196,sample_66_1_IgA_neg,SRP260653
SRR11733578,AMPLICON,502,11504836,PRJNA631001,SAMN14851181,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7132067,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292528,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_66_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,195,sample_66_1,SRP260653
SRR11733579,AMPLICON,502,9114814,PRJNA631001,SAMN14851180,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5788752,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292527,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_65_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,194,sample_65_1_IgA_neg,SRP260653
SRR11733580,AMPLICON,502,11630336,PRJNA631001,SAMN14851179,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7350716,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292526,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_65_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,193,sample_65_1,SRP260653
SRR11733581,AMPLICON,502,20001186,PRJNA631001,SAMN14851178,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",12846933,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292525,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_64_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,192,sample_64_1_IgA_neg,SRP260653
SRR11733582,AMPLICON,502,13378802,PRJNA631001,SAMN14851177,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8278146,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292524,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_64_1_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,191,sample_64_1_IgA_pos,SRP260653
SRR11733583,AMPLICON,502,13917448,PRJNA631001,SAMN14851006,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8875190,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292523,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_7_1_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,20,sample_7_1_IgA_pos,SRP260653
SRR11733584,AMPLICON,502,12814052,PRJNA631001,SAMN14851176,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8014674,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292522,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_64_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,190,sample_64_1,SRP260653
SRR11733585,AMPLICON,502,15387304,PRJNA631001,SAMN14851175,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9861717,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292521,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_63_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,189,sample_63_1_IgA_neg,SRP260653
SRR11733586,AMPLICON,502,10863782,PRJNA631001,SAMN14851174,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6715560,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292520,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_63_1_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,188,sample_63_1_IgA_pos,SRP260653
SRR11733587,AMPLICON,502,14131300,PRJNA631001,SAMN14851173,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8954382,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292519,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_63_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,187,sample_63_1,SRP260653
SRR11733588,AMPLICON,502,16378754,PRJNA631001,SAMN14851172,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10338147,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292518,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_62_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,186,sample_62_1_IgA_neg,SRP260653
SRR11733589,AMPLICON,502,10142910,PRJNA631001,SAMN14851171,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6317247,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292517,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_62_1_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,185,sample_62_1_IgA_pos,SRP260653
SRR11733590,AMPLICON,502,9039012,PRJNA631001,SAMN14851170,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5675819,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292516,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_62_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:25:00Z,1,184,sample_62_1,SRP260653
SRR11733591,AMPLICON,502,15631276,PRJNA631001,SAMN14851169,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9930686,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292515,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_61_1_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,183,sample_61_1_IgA_neg,SRP260653
SRR11733592,AMPLICON,502,8742330,PRJNA631001,SAMN14851168,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5410997,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292514,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_61_1_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,182,sample_61_1_IgA_pos,SRP260653
SRR11733593,AMPLICON,502,12961640,PRJNA631001,SAMN14851167,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8020420,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292513,Sweden,Europe,Sweden,5,Homo sapiens,Illumina MiSeq,sample_61_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,181,sample_61_1,SRP260653
